Country,Species,Scientific_Species,Genes,details_url,Institute,Editing_Method,Delivery,Foreign_DNA,Regulatory_Process,NGT
Norway,"Atlantic Salmon
          (",Salmo salar,slc45a2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=202&RegProcess=0,"Agricultural Technology Research InstituteXiangshan Dist., HsinchuTW",Cloned cell line,"A pRSAD2-KI pig that constitutively overexpressed the pRSAD2 was cloned , viral challenge results indicated that fibroblasts isolated from the pRSAD2-KI pig reduced CSFV infection.",No,No,CRISPR
Taiwan,"Pig
          (",Sus scrofa domesticus,pRSAD2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=184&RegProcess=0,University of StirlingStirlingUK,Embryo edit,Injecting Cas9 mRNA and sgRNAs into Nile tilapia embryos at 1 cell stage.,No,No,CRISPR
United Kingdom,"Nile tilapia
          (",Oreochromis niloticus,piwil2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=109&RegProcess=0,"Washington State UniversityPullman, WA 99164US",Embryo edit,"Bovine zygotes were generated using an in vitro production system and electroporated with CRISPR-Cas9 reagents designed to edit the NANOS2 gene,",No,No,CRISPR
United States,"Cattle
          (",Bos taurus,NANOS2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=45&RegProcess=0,"University of MarylandCollege Park, MD 20742US",Embryo edit,Presumptive zygotes were microinjected with a mixture of commercially sourced Cas9 RNP (Cas9 protein and sgRNA) and single-stranded DNA using a FemtoJet microinjector,No,No,CRISPR
United States,"Cattle
          (",Bos taurus,PRNP,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=51&RegProcess=0,"Auburn UniversityAuburn, AL 36849US",Embryo edit,"To insert the donor template carrying the cathelicidin gene, we used the small guide RNA (sgRNA) that directed Cas9 nuclease to that specific location in a non-coding region of chromosome 1. The designed sgRNA was co-injected with Cas9 along with each donor DNA constructs in different concentrations (10, 20, and 40 ng/ÂµL) into one cell embryos",Yes,No,CRISPR
United States,"Channel catfish
          (",Ictalurus punctatus,alligator cathelicidin,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=94&RegProcess=0,"Washington State UniversityPullman, WA 99164US",Cloned cell line,"To generate NANOS2 KO males for phenotyping and SSCT, somatic cell nuclear transfer (SCNT) was used (19) with the nuclear DNA donor deriving from XY fetal fibroblasts of Nubian Ã Boer crossbred male goats that were modified by CRISPRCas9 editing to possess 16-bp and 23-bp NANOS2 ? alleles (SI Appendix,Fig. S6). In total, 125 one-cell-stage cloned embryos were generated and surgically transferred into seven estrous synchronized recipients.At40to45dof gestation, five recipients were confirmed preg",No,No,CRISPR
United States,"Goat
          (",Capra hircus,NANOS2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=69&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,The gRNA and Cas9 mRNA were co-injected into one-cell stage embryos of tilapia,No,No,CRISPR
United States,"Nile tilapia
          (",Oreochromis niloticus,"rln3a, rln3b",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=111&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,The guide RNA and Cas9 mRNA were co-injected into one-cell-stage embryos,No,No,CRISPR
United States,"Nile tilapia
          (",Oreochromis niloticus,Tsp1a,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=114&RegProcess=0,"Washington State UniversityPullman, WA 99164US",Cloned cell line,cConed a founder male that possessed 150-bp and 4-bp ? NANOS2 alleles (boar #146) using somatic cell nuclear transfer.,No,No,CRISPR
United States,"Pig
          (",Sus scrofa domesticus,NANOS2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=180&RegProcess=0,"Department of Animal Sciences, The Ohio State UniversityColumbus, OH 43210US",Other,"By injecting the recombinant adenovirus containing CRISPR/Cas9 into the quail blastoderm, potential germline chimeras were generated and offspring with three base-pair deletion in the targeted region of the MSTN gene was identified",No,No,CRISPR
United States,"Quail
          (",Coturnix japonica,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=74&RegProcess=0,Shanghai Ocean UniversityShanghai 201306CN,Embryo edit,The sgRNA and Cas9 protein were co-injected into the one-cell embryos,No,No,CRISPR
